,deck_id,title,quantity_x
0,29846,Darwin,2
1,29846,Sure Gamble,3
3,29846,Déjà Vu,3
4,29846,Wyldside,2
5,29846,Mimic,1
6,29846,Stimhack,3
7,29846,Yog.0,1
8,29846,Aesop's Pawnshop,2
9,29846,Cyberfeeder,3
10,29846,Nerve Agent,2
11,29846,Crypsis,2
12,29846,Medium,2
13,29846,Imp,3
14,29846,Parasite,3
15,29846,Armitage Codebusting,3
16,29846,Akamatsu Mem Chip,3
17,29846,Grimoire,1
18,29846,Personal Workshop,2
19,29846,Corroder,1
20,29846,Datasucker,3
21,29846,Imp,3
22,29846,Medium,2
23,29846,Corroder,1
24,29846,Wyldside,2
26,29846,Darwin,2
27,29846,Déjà Vu,3
28,29846,Yog.0,1
29,29846,Mimic,1
30,29846,Armitage Codebusting,3
31,29846,Personal Workshop,2
32,29846,Grimoire,1
33,29846,Sure Gamble,3
34,29846,Datasucker,3
35,29846,Stimhack,3
36,29846,Cyberfeeder,3
37,29846,Aesop's Pawnshop,2
38,29846,Nerve Agent,2
39,29846,Crypsis,2
40,29846,Parasite,3
41,29846,Akamatsu Mem Chip,3
42,29846,Armitage Codebusting,3
43,29846,Nerve Agent,2
44,29846,Déjà Vu,3
45,29846,Darwin,2
47,29846,Sure Gamble,3
48,29846,Akamatsu Mem Chip,3
49,29846,Aesop's Pawnshop,2
50,29846,Parasite,3
51,29846,Mimic,1
52,29846,Datasucker,3
53,29846,Corroder,1
54,29846,Crypsis,2
55,29846,Imp,3
56,29846,Stimhack,3
57,29846,Grimoire,1
58,29846,Cyberfeeder,3
59,29846,Medium,2
60,29846,Personal Workshop,2
61,29846,Yog.0,1
62,29846,Wyldside,2
63,29846,Personal Workshop,2
64,29846,Aesop's Pawnshop,2
65,29846,Déjà Vu,3
67,29846,Wyldside,2
68,29846,Parasite,3
69,29846,Grimoire,1
70,29846,Akamatsu Mem Chip,3
71,29846,Mimic,1
72,29846,Stimhack,3
73,29846,Imp,3
74,29846,Darwin,2
75,29846,Corroder,1
76,29846,Sure Gamble,3
77,29846,Crypsis,2
78,29846,Datasucker,3
79,29846,Yog.0,1
80,29846,Nerve Agent,2
81,29846,Cyberfeeder,3
82,29846,Armitage Codebusting,3
83,29846,Medium,2
84,29854,Easy Mark,1
85,29854,Modded,2
87,29854,Déjà Vu,3
88,29854,Wyldside,3
89,29854,Mimic,3
90,29854,Stimhack,3
91,29854,Yog.0,3
92,29854,Sure Gamble,3
93,29854,Cyberfeeder,3
94,29854,Demolition Run,1
95,29854,Medium,2
96,29854,Parasite,3
97,29854,Armitage Codebusting,3
98,29854,Aesop's Pawnshop,1
99,29854,Grimoire,3
100,29854,Corroder,3
101,29854,Account Siphon,2
102,29854,Datasucker,3
103,29854,Sure Gamble,3
104,29854,Medium,2
105,29854,Corroder,3
106,29854,Wyldside,3
108,29854,Déjà Vu,3
109,29854,Cyberfeeder,3
110,29854,Mimic,3
111,29854,Armitage Codebusting,3
112,29854,Easy Mark,1
113,29854,Grimoire,3
114,29854,Account Siphon,2
115,29854,Datasucker,3
116,29854,Stimhack,3
117,29854,Yog.0,3
118,29854,Aesop's Pawnshop,1
119,29854,Demolition Run,1
120,29854,Parasite,3
121,29854,Modded,2
122,29854,Déjà Vu,3
124,29854,Account Siphon,2
125,29854,Easy Mark,1
126,29854,Sure Gamble,3
127,29854,Aesop's Pawnshop,1
128,29854,Parasite,3
129,29854,Medium,2
130,29854,Datasucker,3
131,29854,Modded,2
132,29854,Corroder,3
133,29854,Armitage Codebusting,3
134,29854,Demolition Run,1
135,29854,Grimoire,3
136,29854,Stimhack,3
137,29854,Cyberfeeder,3
138,29854,Mimic,3
139,29854,Yog.0,3
140,29854,Wyldside,3
141,29854,Easy Mark,1
142,29854,Account Siphon,2
143,29854,Aesop's Pawnshop,1
144,29854,Déjà Vu,3
145,29854,Modded,2
147,29854,Wyldside,3
148,29854,Parasite,3
149,29854,Grimoire,3
150,29854,Mimic,3
151,29854,Stimhack,3
152,29854,Corroder,3
153,29854,Sure Gamble,3
154,29854,Demolition Run,1
155,29854,Datasucker,3
156,29854,Yog.0,3
157,29854,Cyberfeeder,3
158,29854,Armitage Codebusting,3
159,29854,Medium,2
160,699,Pheromones,1
161,699,Nerve Agent,1
162,699,Sure Gamble,3
164,699,Aesop's Pawnshop,1
165,699,Imp,3
166,699,Daily Casts,3
167,699,Dirty Laundry,3
168,699,Gorman Drip v1,3
169,699,Déjà Vu,2
170,699,Medium,1
171,699,Surge,3
172,699,The Source,3
173,699,Chakana,1
174,699,Djinn,3
175,699,Grimoire,2
176,699,Datasucker,3
177,699,Liberated Account,3
178,699,Stimhack,1
179,699,Parasite,3
180,699,Crypsis,2
181,699,Aesop's Pawnshop,1
182,699,Déjà Vu,2
183,699,Surge,3
185,699,Dirty Laundry,3
186,699,Imp,3
187,699,Parasite,3
188,699,Grimoire,2
189,699,Liberated Account,3
190,699,Chakana,1
191,699,Stimhack,1
192,699,Pheromones,1
193,699,Sure Gamble,3
194,699,Crypsis,2
195,699,Datasucker,3
196,699,Gorman Drip v1,3
197,699,Nerve Agent,1
198,699,Daily Casts,3
199,699,Djinn,3
200,699,Medium,1
201,699,The Source,3
202,698,Nerve Agent,2
203,698,Daily Casts,3
205,698,Levy AR Lab Access,2
206,698,Imp,3
207,698,Medium,2
208,698,Déjà Vu,3
209,698,Plascrete Carapace,2
210,698,Djinn,3
211,698,Datasucker,3
212,698,Liberated Account,2
213,698,Crypsis,1
214,698,Mimic,1
215,698,Aesop's Pawnshop,2
216,698,Cyberfeeder,2
217,698,Surge,1
218,698,The Source,2
219,698,Gorman Drip v1,1
220,698,Stimhack,1
221,698,Scheherazade,2
222,698,Infiltration,3
223,698,Corroder,1
224,698,Wyldside,3
225,698,Liberated Account,2
226,698,Nerve Agent,2
227,698,Infiltration,3
228,698,Plascrete Carapace,2
229,698,Scheherazade,2
230,698,Daily Casts,3
231,698,Crypsis,1
232,698,The Source,2
233,698,Aesop's Pawnshop,2
234,698,Déjà Vu,3
236,698,Surge,1
237,698,Corroder,1
238,698,Wyldside,3
239,698,Datasucker,3
240,698,Levy AR Lab Access,2
241,698,Mimic,1
242,698,Stimhack,1
243,698,Imp,3
244,698,Medium,2
245,698,Cyberfeeder,2
246,698,Djinn,3
247,698,Gorman Drip v1,1
248,738,Sure Gamble,3
250,738,Imp,3
251,738,Dirty Laundry,3
252,738,Déjà Vu,2
253,738,Medium,2
254,738,Djinn,2
255,738,Daily Casts,3
256,738,Datasucker,2
257,738,Liberated Account,3
258,738,Clone Chip,2
259,738,Ice Carver,1
